ISO	Name	Tone	Tone_number	Tone_comments
ths	Thakali, Tukche dialect	Simple	2	
tig	Tigre	None	0	
tiw	Tiwi	None	0	
tiy	Teduray	None	0	
tjm	Timucua (Mocama dialect)	None	0	
tlc	Totonac, Misantla dialect	None	0	
tli	Tlingit	Simple	2	
tlo	Jomang	Simple	2	
tnc	Tanimuca-Retuarã	Simple	2	
tnl	Lenakel	None	0	
tob	Toba	None	0	
tol	Tolowa	Simple	2	pitch-accent
top	Totonac, Papantla dialect	None	0	
tow	Towa	Moderately complex	3	
tpm	Tampulma	Simple	2	
tpy	Trumai	None	0	
tqo	Toaripi	None	0	
tqw	Tonkawa	None	0	
tri	Trio	None	0	
tsb	Ts\'amakko	Simple	2	
tsg	Tausug	None	0	
tsi	Tsimshian, Coast	None	0	
tsu	Tsou	None	0	
tsz	Purépecha	None	0	
tti	Tobati	None	0	
ttr	Tera	Moderately complex	3	
tun	Tunica	None	0	
tur	Turkish	None	0	
twf	Tiwa, Northern	Simple	3	
tyv	Tuva	None	0	
tzh	Tzeltal, Aguacatenango dialect	None	0	
tzj	Tzutujil, Eastern (San Juan la Laguna dialect)	None	0	
tzm	Tamazight (Central Atlas)	None	0	
ugb	Kugu Nganhcara	None	0	
uig	Uyghur, Standard dialect of Urumqi	None	0	
ulk	Meriam Mer	None	0	
umb	UMbundu	Simple	2	
ung	Ngarinyin	None	0	
unr	Mundari	None	0	
ura	Urarina	Simple	2	pitch-accent
urb	Urubu-Kaapor	None	0	
urk	Urak Lawoi\'	None	0	
uwa	Kugu Nganhcara	None	0	
uzn	Northern Uzbek, Tashkent dialect	None	0	
vam	Dumo	Simple	2	
vie	Vietnamese	Complex	6	
vma	Martuthunira	None	0	
vmb	Mbabaram	None	0	
wap	Wapishana	None	0	
wba	Warao	None	0	
wgi	Mid-Wahgi	Moderately complex	3	
wic	Wichita	Marginal	1	
wij	Kugu Nganhcara	None	0	
wim	Wik-Munkan	None	0	
wmb	Wambaya	None	0	
wnc	Wantoat	None	0	
wno	Wano	None	0	
wnu	Usan	None	0	
wnw	Wintu	None	0	
woi	Kamang	None	0	
wol	Wolof	None	0	
wrk	Garrwa	None	0	
wrr	Wardaman	None	0	
wrs	Waris	None	0	
wrz	Waray (Australia)	None	0	
wuv	Wuvulu	None	0	
wwr	Warrwa	None	0	
wyb	Ngiyambaa	None	0	
xav	Xavante	None	0	
xaw	Kawaiisu	None	0	
xmh	Kugu Nganhcara	None	0	
xmp	Kugu Nganhcara	None	0	
xnu	Kunuz Nubian	None	0	
xpe	Kpelle	Moderately complex	3	
xsu	Sanuma	None	0	
xtc	Kadugli	Moderately complex	3	
xwa	Kwaza	None	0	
yab	Yuhup	Complex	4	
